date,opponent,time,location,event
2025-10-29,Unchenna Academy,TBD,"Buffalo, NY",
2025-11-04,Expressions Prep,7:00pm,"Erie, PA",
2025-11-08,Perkiomen,1:00pm,"Pennsburg, PA",
2025-11-09,Phelps HS National,1:00pm,"Malvern, PA",
2025-11-13,Western Reserve Academy,11:30am,"Hudson, OH",
2025-11-15,Spire International,2:00pm,"Geneva, OH",
2025-11-18,Bosco Institute,6:30pm,"Crown Point, IN",
2025-11-19,La Lumiere,TBD,"La Porte, IN",
2025-12-07,TBD,TBD,"New Rochelle, NY","PSA Cardinals Showcase"
2025-12-09,Spire International,TBD,"Erie, PA","Fork Union Classic"
2025-12-12,Kiski,7:00pm,"Leechburg, PA","Kiski Tipoff"
2025-12-13,TBD,TBD,"Leechburg, PA","Kiski Tipoff"
2025-12-19,TBD,TBD,"Ironton, OH","Ironton Classic"
2025-12-20,TBD,TBD,"Ironton, OH","Ironton Classic"
2026-01-09,TBD,TBD,"Myrtle Beach, SC","Big Shots"
2026-01-10,TBD,TBD,"Myrtle Beach, SC","Big Shots"
2026-01-11,TBD,TBD,"Myrtle Beach, SC","Big Shots"
2026-01-14,Andrew Osbourne Academy,7:00pm,"Willoughby, OH",
2026-01-17,C.O.D.E National,TBD,"Erie, PA",
2026-01-18,C.O.D.E Provincinal,TBD,"Erie, PA",
2026-01-20,The Linsly School,6:00pm,"Wheeling, WV",
2026-01-23,Spire National,TBD,"Geneva, OH",
2026-01-25,Kiski,TBD,"Erie, PA",
2026-01-27,Flyght Academy,TBD,"Erie, PA",
2026-01-31,London Basketball Academy,TBD,"Erie, PA",
2026-02-07,Grand River Academy,TBD,"Erie, PA",
2026-02-11,Gillion Academy,TBD,"Erie, PA",
2026-02-14,Linsly,TBD,"Erie, PA",
2026-02-17,Andrews Osbourne Academy,TBD,"Erie, PA",
2026-02-27,Spire Regional,7:00pm,"Erie, PA",
2026-03-04,Grand River Academy,TBD,"Austinburg, OH",
2026-03-13,TBD,TBD,"Rock Hill, SC","Phenom"
2026-03-14,TBD,TBD,"Rock Hill, SC","Phenom"
2026-03-15,TBD,TBD,"Rock Hill, SC","Phenom"
